                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.068909,               0.030325,               0.032543,               0.055749,                0.60111,                0.24019,                0.16647,                0.10876,                0.60417,                0.24555,                0.17849,                 0.1277,               0.021003,              0.0024921,              0.0099304,               0.019967,                0.07027,              0.0033033,              0.0033033
                      1,               0.052754,              0.0066484,               0.019978,               0.050587,                0.19635,                0.57956,                 0.3055,                0.14324,                0.19635,                0.57956,                 0.3055,                0.17438,               0.024739,               0.013513,              0.0050977,               0.017146,               0.040007,              0.0063738,              0.0063738
                      2,               0.049378,              0.0065954,               0.015665,               0.047666,                0.26736,                0.32355,                0.25925,                0.16861,                0.26736,                0.32355,                0.26116,                0.20591,               0.021855,              0.0016103,              0.0053654,               0.016866,              0.0094806,              0.0091803,              0.0091803
                      3,               0.046019,              0.0061438,               0.013066,               0.044666,                0.37249,                0.72294,                0.46119,                 0.4522,                0.37249,                0.72294,                0.46119,                0.41362,               0.012111,             0.00098916,               0.004298,               0.014766,               0.008812,               0.008812,               0.008812
                      4,               0.041166,              0.0050997,               0.011921,               0.042369,                0.31361,                0.49492,                 0.4363,                0.42854,                0.31361,                0.49492,                 0.4363,                0.33714,               0.021426,              0.0056291,               0.004606,               0.014022,               0.008812,               0.008812,               0.008812
                      5,               0.034067,              0.0050628,                0.01117,               0.040978,                  0.622,                0.62811,                0.56581,                0.54419,                  0.622,                0.62811,                0.56581,                0.36716,               0.012354,               0.021514,              0.0045634,               0.012449,               0.008416,               0.008416,               0.008416
                      6,                0.03405,              0.0059925,               0.010952,                0.03826,                0.69542,                0.63461,                0.73089,                0.49536,                0.69542,                0.63461,                0.73091,                0.61614,               0.013897,               0.001287,              0.0036218,               0.010511,                0.00802,                0.00802,                0.00802
                      7,               0.030274,              0.0053807,               0.010269,               0.036599,                0.77168,                 0.5661,                0.71102,                0.70404,                0.77168,                 0.5661,                0.71102,                0.66595,              0.0096406,             0.00080115,              0.0032249,               0.010564,               0.007624,               0.007624,               0.007624
                      8,               0.028112,              0.0054674,               0.009522,               0.035764,                0.47473,                0.58995,                0.66281,                0.61958,                0.47473,                0.58995,                0.66281,                0.52629,              0.0099967,                0.02506,              0.0051441,               0.011106,               0.007228,               0.007228,               0.007228
                      9,               0.027465,              0.0052526,              0.0096772,               0.034432,                0.85344,                0.70523,                0.81163,                0.73979,                0.85344,                0.70523,                0.81163,                0.73253,               0.010915,              0.0021415,              0.0035327,              0.0089884,               0.006832,               0.006832,               0.006832
                     10,                0.02497,              0.0053251,              0.0094557,               0.029955,                0.59599,                0.60912,                0.61575,                0.48934,                0.59599,                0.60912,                0.61575,                0.39958,                0.01204,               0.059124,              0.0043032,                0.01089,               0.006436,               0.006436,               0.006436
                     11,                0.02523,              0.0044891,              0.0091134,                0.03061,                 0.7781,                0.73612,                0.91075,                0.84144,                 0.7781,                0.73612,                0.91075,                0.82516,               0.009723,              0.0063716,              0.0037623,                0.00857,                0.00604,                0.00604,                0.00604
                     12,               0.024147,              0.0041743,              0.0090408,               0.028634,                0.83089,                0.80472,                0.80815,                0.75195,                0.83089,                0.80472,                0.80815,                0.74618,              0.0081997,              0.0073495,              0.0031251,               0.012864,               0.005644,               0.005644,               0.005644
                     13,               0.021341,               0.004384,              0.0083269,               0.027543,                 0.8231,                0.65385,                0.73333,                0.64871,                 0.8231,                0.65385,                0.73333,                0.65642,              0.0093019,              0.0050691,              0.0039408,               0.015719,               0.005248,               0.005248,               0.005248
                     14,               0.019648,              0.0050902,              0.0083476,               0.027434,                0.94026,                0.94608,                0.97438,                0.93079,                0.94026,                0.94608,                0.97438,                0.94998,              0.0079544,             0.00086431,              0.0032039,              0.0043997,               0.004852,               0.004852,               0.004852
                     15,               0.020826,              0.0045669,              0.0084018,               0.026894,                0.90573,                0.87882,                0.96494,                0.93771,                0.90573,                0.87882,                0.96493,                0.91407,              0.0070097,              0.0020324,              0.0028243,              0.0066053,               0.004456,               0.004456,               0.004456
                     16,               0.018259,              0.0040138,              0.0078643,                0.02534,                0.87308,                0.94452,                0.97685,                0.95405,                0.87308,                0.94452,                0.97685,                0.70597,               0.008121,               0.020094,              0.0030196,               0.005055,                0.00406,                0.00406,                0.00406
                     17,               0.015601,              0.0035663,              0.0074873,               0.022588,                0.94119,                0.93923,                0.98999,                0.96787,                0.94119,                0.93923,                0.98999,                0.98999,              0.0069877,             0.00087376,              0.0024542,              0.0040367,               0.003664,               0.003664,               0.003664
                     18,               0.015394,              0.0039167,               0.007588,               0.022102,                0.97179,                0.98946,                0.98965,                0.95039,                0.97179,                0.98946,                0.98965,                0.98923,              0.0071905,              0.0007504,              0.0028751,              0.0031254,               0.003268,               0.003268,               0.003268
                     19,               0.015241,               0.003712,              0.0069773,               0.021558,                0.91926,                0.96284,                0.98768,                0.98147,                0.91926,                0.96284,                0.98768,                0.94686,              0.0079056,              0.0035976,              0.0029668,              0.0042107,               0.002872,               0.002872,               0.002872
                     20,               0.014645,              0.0038671,              0.0069227,               0.021852,                0.89689,                0.93878,                0.93697,                0.93273,                0.89689,                0.93878,                0.93697,                0.93187,              0.0064563,              0.0019896,              0.0029986,              0.0059799,               0.002476,               0.002476,               0.002476
                     21,               0.014308,              0.0036799,              0.0068338,               0.020202,                 0.9691,                0.98596,                0.98952,                0.92977,                 0.9691,                0.98596,                0.98952,                0.97829,              0.0072093,              0.0013758,              0.0037404,              0.0027802,                0.00208,                0.00208,                0.00208
                     22,               0.012594,              0.0036412,              0.0061933,                0.01903,                0.98564,                0.99229,                0.98893,                0.98309,                0.98564,                0.99229,                0.98893,                0.98832,               0.006486,                0.00121,              0.0033815,               0.002765,               0.001684,               0.001684,               0.001684
                     23,               0.013228,              0.0036156,              0.0061199,               0.019561,                0.98569,                0.98517,                0.98893,                0.98734,                0.98569,                0.98517,                0.98893,                0.98863,              0.0068572,             0.00072859,              0.0036157,              0.0027483,               0.001288,               0.001288,               0.001288
                     24,               0.011171,              0.0032998,              0.0058587,               0.016156,                0.98631,                0.98882,                0.98958,                0.98912,                0.98631,                0.98882,                0.98958,                0.98942,              0.0065645,             0.00082198,              0.0035538,               0.002642,               0.000892,               0.000892,               0.000892
                     26,                0.98625,                0.98884,                0.98951,                0.98905,                0.98625,                0.98884,                0.98951,                0.98935,              0.0065652,             0.00082098,              0.0035537,              0.0026428
